airline_iata,airline_name,callsign,airline_country,src_iata,src_airport,src_city,src_country,src_lat,src_lon,src_continent,src_airport_type,src_elevation,dst_iata,dst_airport,dst_city,dst_country,dst_lat,dst_lon,dst_continent,dst_airport_type,dst_elevation,stops,equipment,distance_km
2B,Aerocondor,AEROCONDOR,Portugal,AER,Sochi International Airport,Sochi,RU,43.449902,39.9566,Europe,large_airport,27.127200000000002,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,Asia,large_airport,125.2728,0,CR2,1507
2B,Aerocondor,AEROCONDOR,Portugal,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,Asia,large_airport,-19.812,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,Asia,large_airport,125.2728,0,CR2,1040
2B,Aerocondor,AEROCONDOR,Portugal,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,Asia,large_airport,-19.812,MRV,Mineralnye Vody Airport,Mineralnyye Vody,RU,44.225101,43.081902,Asia,large_airport,321.2592,0,CR2,448
2B,Aerocondor,AEROCONDOR,Portugal,CEK,Kurchatov Chelyabinsk International Airport,Chelyabinsk,RU,55.303141,61.504927,Asia,large_airport,234.3912,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,Asia,large_airport,125.2728,0,CR2,771
2B,Aerocondor,AEROCONDOR,Portugal,CEK,Kurchatov Chelyabinsk International Airport,Chelyabinsk,RU,55.303141,61.504927,Asia,large_airport,234.3912,OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,55.019756,82.618675,Europe,large_airport,111.25200000000001,0,CR2,1336
2B,Aerocondor,AEROCONDOR,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Europe,large_airport,179.22240000000002,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,Asia,large_airport,125.2728,0,CR2,716
2B,Aerocondor,AEROCONDOR,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Europe,large_airport,179.22240000000002,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,Asia,medium_airport,195.9864,0,CR2,892
2B,Aerocondor,AEROCONDOR,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Europe,large_airport,179.22240000000002,TGK,Taganrog Yuzhny Airport,Taganrog,RU,47.1983333,38.8491667,Europe,medium_airport,35.6616,0,CR2,915
2B,Aerocondor,AEROCONDOR,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Europe,large_airport,179.22240000000002,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,Asia,medium_airport,302.0568,0,CR2,951
2B,Aerocondor,AEROCONDOR,Portugal,EGO,Belgorod International Airport,Belgorod,RU,50.64379883,36.59009933,Europe,medium_airport,224.02800000000002,KGD,Khrabrovo Airport,Kaliningrad,RU,54.89161,20.598559,Europe,large_airport,12.8016,0,CR2,1172
